repository,pr_number,pr_outcome,weighted_negativity_ratio,total_feedback,has_any_negative_feedback,num_positive_comments,num_neutral_comments,num_negative_comments,total_comments,num_positive_reviews,num_neutral_reviews,num_negative_reviews,total_reviews,num_positive_review_comments,num_neutral_review_comments,num_negative_review_comments,total_review_comments
audacity,3278,merged,0.045368620037807186,264.5,1,1,19,0,20,1,1,0,2,1,75,4,80
audacity,2867,merged,0.034904013961605584,286.5,1,0,6,1,7,0,3,0,3,4,84,3,91
audacity,759,rejected,0.0,258.5,0,3,3,0,6,0,0,0,0,0,84,0,84
audacity,3432,merged,0.10482180293501048,238.5,1,1,9,1,11,1,0,0,1,4,63,8,75
audacity,1193,rejected,0.017429193899782137,229.5,1,1,3,1,5,0,1,0,1,3,70,1,74
audacity,4853,rejected,0.16042780748663102,93.5,1,4,59,15,78,0,0,0,0,0,5,0,5
audacity,2224,merged,0.04081632653061224,220.5,1,2,5,3,10,3,3,0,6,2,62,2,66
audacity,4746,merged,0.13559322033898305,206.5,1,0,16,2,18,1,2,1,4,3,49,8,60
audacity,6068,merged,0.10401891252955082,211.5,1,3,6,1,10,0,3,0,3,4,54,7,65
audacity,4668,merged,0.09418282548476455,180.5,1,3,18,3,24,0,2,1,3,6,40,4,50
audacity,4701,merged,0.20048899755501223,204.5,1,0,8,2,10,0,1,0,1,8,43,13,64
audacity,5042,merged,0.04155844155844156,192.5,1,5,8,0,13,0,0,1,1,2,55,2,59
audacity,830,merged,0.05128205128205128,136.5,1,11,21,1,33,0,2,0,2,1,30,2,33
audacity,966,merged,0.04603580562659847,195.5,1,0,2,0,2,2,3,0,5,3,55,3,61
audacity,2941,merged,0.06808510638297872,117.5,1,6,32,5,43,0,1,0,1,0,23,1,24
audacity,4384,rejected,0.042440318302387266,188.5,1,3,3,2,8,0,0,0,0,3,55,2,60
audacity,3396,merged,0.027548209366391185,181.5,1,0,6,2,8,0,1,0,1,2,54,1,57
audacity,6359,merged,0.050156739811912224,159.5,1,3,11,2,16,1,3,0,4,1,42,2,45
audacity,1614,merged,0.047493403693931395,189.5,1,1,0,0,1,0,4,0,4,8,49,3,60
audacity,1679,merged,0.048,187.5,1,2,0,0,2,0,4,0,4,9,47,3,59
audacity,5818,merged,0.11221122112211221,151.5,1,0,15,5,20,1,0,0,1,2,37,4,43
